[2026-03-22 09:08:57] bot started | dry_run=True
[2026-03-22 09:14:05] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.493 secs_left=54.731079 up=0.525 down=0.475
[2026-03-22 09:14:05] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:09] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.581 secs_left=50.853551 up=0.525 down=0.475
[2026-03-22 09:14:09] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:13] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.569 secs_left=46.942259 up=0.525 down=0.475
[2026-03-22 09:14:13] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:17] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.571 secs_left=43.067705 up=0.525 down=0.475
[2026-03-22 09:14:17] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:21] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=39.144678 up=0.525 down=0.475
[2026-03-22 09:14:21] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:23] EVENT INTERRUPT: OFI=0.77 Vol=$3086037 -> forcing fast poll
[2026-03-22 09:14:24] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=36.162662 up=0.525 down=0.475
[2026-03-22 09:14:24] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:24] EVENT INTERRUPT: OFI=0.81 Vol=$3120347 -> forcing fast poll
[2026-03-22 09:14:27] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=33.16047 up=0.525 down=0.475
[2026-03-22 09:14:27] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:27] EVENT INTERRUPT: OFI=0.82 Vol=$3096373 -> forcing fast poll
[2026-03-22 09:14:30] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=30.154929 up=0.525 down=0.475
[2026-03-22 09:14:30] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:30] EVENT INTERRUPT: OFI=0.82 Vol=$3062552 -> forcing fast poll
[2026-03-22 09:14:33] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=27.15313 up=0.525 down=0.475
[2026-03-22 09:14:33] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:33] EVENT INTERRUPT: OFI=0.81 Vol=$3000091 -> forcing fast poll
